fips,state,state_abbr,region,year,disease,age_group,cases,rate,population
24,Maryland,MD,South,2023,Gonorrhea,15-19,1727,433.2,398623
24,Maryland,MD,South,2023,Gonorrhea,20-24,2289,624.2,366692
24,Maryland,MD,South,2023,Gonorrhea,25-29,1490,394.4,377775
24,Maryland,MD,South,2023,P&S Syphilis,15-19,28,7.0,398623
24,Maryland,MD,South,2023,P&S Syphilis,20-24,128,34.9,366692
24,Maryland,MD,South,2023,P&S Syphilis,25-29,142,37.6,377775
25,Massachusetts,MA,Northeast,2023,Chlamydia,15-19,6215,1374.5,452164
25,Massachusetts,MA,Northeast,2023,Chlamydia,20-24,9880,2062.8,478961
25,Massachusetts,MA,Northeast,2023,Chlamydia,25-29,5454,1141.5,477792
25,Massachusetts,MA,Northeast,2023,Gonorrhea,15-19,1206,266.7,452164
25,Massachusetts,MA,Northeast,2023,Gonorrhea,20-24,2246,468.9,478961
25,Massachusetts,MA,Northeast,2023,Gonorrhea,25-29,1981,414.6,477792
25,Massachusetts,MA,Northeast,2023,P&S Syphilis,15-19,22,4.9,452164
25,Massachusetts,MA,Northeast,2023,P&S Syphilis,20-24,79,16.5,478961
25,Massachusetts,MA,Northeast,2023,P&S Syphilis,25-29,135,28.3,477792
26,Michigan,MI,Midwest,2023,Chlamydia,15-19,11707,1809.1,647117
26,Michigan,MI,Midwest,2023,Chlamydia,20-24,14951,2242.3,666771
26,Michigan,MI,Midwest,2023,Chlamydia,25-29,7330,1148.0,638502
26,Michigan,MI,Midwest,2023,Gonorrhea,15-19,3178,491.1,647117
26,Michigan,MI,Midwest,2023,Gonorrhea,20-24,3975,596.2,666771
26,Michigan,MI,Midwest,2023,Gonorrhea,25-29,2782,435.7,638502
26,Michigan,MI,Midwest,2023,P&S Syphilis,15-19,32,4.9,647117
26,Michigan,MI,Midwest,2023,P&S Syphilis,20-24,112,16.8,666771
26,Michigan,MI,Midwest,2023,P&S Syphilis,25-29,167,26.2,638502
27,Minnesota,MN,Midwest,2023,Chlamydia,15-19,5409,1406.9,384462
27,Minnesota,MN,Midwest,2023,Chlamydia,20-24,7438,2072.0,358977
27,Minnesota,MN,Midwest,2023,Chlamydia,25-29,3635,1017.4,357283
27,Minnesota,MN,Midwest,2023,Gonorrhea,15-19,1183,307.7,384462
27,Minnesota,MN,Midwest,2023,Gonorrhea,20-24,1789,498.4,358977
27,Minnesota,MN,Midwest,2023,Gonorrhea,25-29,1387,388.2,357283
27,Minnesota,MN,Midwest,2023,P&S Syphilis,15-19,24,6.2,384462
27,Minnesota,MN,Midwest,2023,P&S Syphilis,20-24,57,15.9,358977
27,Minnesota,MN,Midwest,2023,P&S Syphilis,25-29,63,17.6,357283
28,Mississippi,MS,South,2023,Chlamydia,15-19,6819,3210.0,212430
28,Mississippi,MS,South,2023,Chlamydia,20-24,7304,3636.0,200880
28,Mississippi,MS,South,2023,Chlamydia,25-29,3114,1705.7,182564
28,Mississippi,MS,South,2023,Gonorrhea,15-19,1916,901.9,212430
